ID,NImpacto,Weight
M1 - S1,,0
M2 - S2,Alta,1
M3 - S3,Alta,1
M4 - S4,Alta,1
M5 - S5,,0
M6 - S6,,0
M7 - S7,Alta,1
M8 - S8,,0
M9 - S9,Alta,1
M10 - S10,,0
M11 - S11,Alta,1
M12 - S12,Alta,1
M1 - S13,Alta,1
M2 - S14,Alta,1
M3 - S15,Alta,1
M4 - S16,,0
M5 - S17,Alta,1
M6 - S18,Media,1
M7 - S19,Alta,1
M8 - S20,Alta,1
M9 - S21,Alta,1
M10 - S22,Alta,1
M11 - S23,Alta,1
M12 - S24,Alta,1
M1 - S25,Alta,1
M2 - S26,,0
M3 - S27,,0
M4 - S28,,0
M5 - S29,Alta,1
M6 - S30,Alta,1
M7 - S31,Alta,1
M8 - S32,Alta,1
M9 - S33,Alta,1
M10 - S34,Alta,1
M11 - S35,Alta,1
M12 - S36,Alta,1
M1 - S37,Alta,1
M2 - S38,Alta,1
M3 - S39,Alta,1
M4 - S40,Alta,1
M5 - S41,,0
M6 - S42,,0
M7 - S43,Alta,1
M8 - S44,Alta,1
M9 - S45,,0
M10 - S46,Media,1
M11 - S47,Alta,1
M12 - S48,Alta,1
M1 - S49,Alta,1
M2 - S50,Alta,1
M3 - S51,Alta,1
M4 - S52,Alta,1
M5 - S53,Alta,1
M6 - S54,Alta,1
M7 - S55,Alta,1
M8 - S56,,0
M9 - S57,,0
M10 - S58,Alta,1
M11 - S59,Alta,1
M12 - S60,Alta,1
M1 - S61,Alta,1
M2 - S62,Alta,1
M3 - S63,,0
M4 - S64,,0
M5 - S65,,0
M6 - S66,Alta,1
M7 - S67,,0
M8 - S68,,0
M9 - S69,,0
M10 - S70,Alta,1
M11 - S71,Alta,1
M12 - S72,Alta,1
M1 - S73,Alta,1
M2 - S74,Alta,1
M3 - S75,,0
M4 - S76,Media,1
M5 - S77,Alta,1
M6 - S78,,0
M7 - S79,,0
M8 - S80,Alta,1
M9 - S81,Alta,1
M10 - S82,Alta,1
M11 - S83,Alta,1
M12 - S84,Alta,1
M1 - S85,Alta,1
M2 - S86,Alta,1
M3 - S87,Alta,1
M4 - S88,Alta,1
M5 - S89,Alta,1
M6 - S90,Alta,1
M7 - S91,Alta,1
M8 - S92,Media,1
M9 - S93,,0
M10 - S94,Alta,1
M11 - S95,Alta,1
M12 - S96,,0
M1 - S97,,0
M2 - S98,,0
M3 - S99,Alta,1
M4 - S100,Alta,1
M5 - S101,Alta,1
M6 - S102,Alta,1
M7 - S103,Alta,1
M8 - S104,Alta,1
M9 - S105,Alta,1
M10 - S106,Media,1
M11 - S107,Alta,1
M12 - S108,Alta,1
M1 - S109,Alta,1
M2 - S110,Alta,1
M3 - S111,Alta,1
M4 - S112,,0
M5 - S113,Alta,1
M6 - S114,Media,1
M7 - S115,Alta,1
M8 - S116,Alta,1
M9 - S117,Alta,1
M10 - S118,Alta,1
M11 - S119,Alta,1
M12 - S120,Alta,1
M1 - S121,Alta,1
M2 - S122,Alta,1
M3 - S123,,0
M4 - S124,,0
M5 - S125,,0
M6 - S126,,0
M7 - S127,,0
M8 - S128,,0
M9 - S129,,0
M10 - S130,,0
M11 - S131,,0
M12 - S132,,0
M1 - S133,Alta,1
M2 - S134,,0
M3 - S135,Media,1
M4 - S136,Media,1
M5 - S137,Media,1
M6 - S138,,0
M7 - S139,,0
M8 - S140,Alta,1
M9 - S141,Alta,1
M10 - S142,Alta,1
M11 - S143,,0
M12 - S144,,0
M1 - S145,Media,1
M2 - S146,Media,1
M3 - S147,Alta,1
M4 - S148,,0
M5 - S149,,0
M6 - S150,,0
M7 - S151,,0
M8 - S152,,0
M9 - S153,,0
M10 - S154,,0
M11 - S155,,0
M12 - S156,,0
M1 - S157,Alta,1
M2 - S158,Alta,1
M3 - S159,,0
M4 - S160,,0
M5 - S161,,0
M6 - S162,,0
M7 - S163,Alta,1
M8 - S164,Alta,1
M9 - S165,Alta,1
M10 - S166,Alta,1
M11 - S167,Alta,1
M12 - S168,Alta,1
M1 - S169,,0
M2 - S170,,0
M3 - S171,,0
M4 - S172,,0
M5 - S173,Alta,1
M6 - S174,,0
M7 - S175,,0
M8 - S176,,0
M9 - S177,,0
M10 - S178,,0
M11 - S179,,0
M12 - S180,,0
M1 - S181,Alta,1
M2 - S182,,0
M3 - S183,Alta,1
M4 - S184,Alta,1
M5 - S185,Alta,1
M6 - S186,Alta,1
M7 - S187,Alta,1
M8 - S188,Alta,1
M9 - S189,Alta,1
M10 - S190,,0
M11 - S191,,0
M12 - S192,,0
M1 - S193,,0
M2 - S194,,0
M3 - S195,Alta,1
M4 - S196,Alta,1
M5 - S197,Alta,1
M6 - S198,Alta,1
M7 - S199,Alta,1
M8 - S200,Alta,1
M9 - S201,,0
M10 - S202,,0
M11 - S203,Alta,1
M12 - S204,,0
M1 - S205,Media,1
M2 - S206,,0
M3 - S207,Alta,1
M4 - S208,Alta,1
M5 - S209,Alta,1
M6 - S210,Alta,1
M7 - S211,Alta,1
M8 - S212,,0
M9 - S213,,0
M10 - S214,,0
M11 - S215,Alta,1
M12 - S216,Alta,1
M1 - S217,Alta,1
M2 - S218,Alta,1
M3 - S219,Alta,1
M4 - S220,Alta,1
M5 - S221,Alta,1
M6 - S222,Alta,1
M7 - S223,,0
M8 - S224,,0
M9 - S225,,0
M10 - S226,Alta,1
M11 - S227,Alta,1
M12 - S228,Alta,1
M1 - S229,Media,1
M2 - S230,Alta,1
M3 - S231,Media,1
M4 - S232,Media,1
M5 - S233,Alta,1
M6 - S234,Alta,1
M7 - S235,Alta,1
M8 - S236,Alta,1
M9 - S237,Alta,1
M10 - S238,Alta,1
M11 - S239,Alta,1
M12 - S240,Alta,1
M1 - S241,Alta,1
M2 - S242,Alta,1
M3 - S243,,0
M4 - S244,,0
M5 - S245,,0
